,Year,SurfaceWt,SSB,SSBdep,spawnIdx,scaledIdx,Catch,HR,SurplusProd,perCapSurplusProd
1,1951,1,17.563,0.752,4.213,19.115,2.847,0.139,1.777,0.101
2,1952,1,16.493,0.706,2.578,11.603,10.146,0.381,24.353,1.477
3,1953,1,30.701,1.315,7.555,34.080,NA,NA,84.063,2.738
4,1954,1,114.764,4.916,12.408,54.322,1.786,0.015,-5.458,-0.048
5,1955,1,107.520,4.605,6.437,29.206,0.498,0.005,-81.707,-0.760
6,1956,1,25.315,1.084,6.042,27.414,77.462,0.754,60.469,2.389
7,1957,1,8.322,0.356,1.592,7.223,21.339,0.719,23.660,2.843
8,1958,1,10.643,0.456,0.815,3.698,11.147,0.512,30.903,2.904
9,1959,1,30.398,1.302,8.981,41.796,6.828,0.183,9.797,0.322
10,1960,1,33.368,1.429,6.599,37.630,NA,NA,11.675,0.350
11,1961,1,45.043,1.929,8.981,44.993,0.576,0.013,0.355,0.008
12,1962,1,44.822,1.920,5.731,27.940,7.632,0.145,8.384,0.187
13,1963,1,45.574,1.952,7.298,33.100,14.705,0.244,-16.225,-0.356
14,1964,1,14.644,0.627,4.104,21.901,28.772,0.663,27.666,1.889
15,1965,1,13.538,0.580,1.379,6.603,35.449,0.724,32.782,2.421
16,1966,1,10.871,0.466,2.825,12.781,2.746,0.202,2.462,0.226
17,1967,1,10.587,0.453,0.711,3.160,0.213,0.020,0.871,0.082
18,1968,1,11.245,0.482,0.833,3.848,0.080,0.007,1.303,0.116
19,1969,1,12.468,0.534,2.075,9.415,NA,NA,4.661,0.374
20,1970,1,17.129,0.734,5.552,23.220,NA,NA,8.634,0.504
21,1971,1,25.763,1.103,13.291,56.209,0.102,0.004,11.016,0.428
22,1972,1,36.677,1.571,9.542,43.037,3.973,0.098,16.473,0.449
23,1973,1,49.177,2.106,7.96,45.554,7.521,0.133,22.573,0.459
24,1974,1,64.229,2.751,14.509,72.395,6.319,0.090,23.277,0.362
25,1975,1,81.187,3.477,9.687,50.531,7.724,0.087,-7.342,-0.090
26,1976,1,66.121,2.832,15.986,84.208,14.181,0.177,0.742,0.011
27,1977,1,52.682,2.257,15.717,74.056,12.759,0.195,2.182,0.041
28,1978,1,42.106,1.803,16.886,76.194,11.931,0.221,6.443,0.153
29,1979,1,36.617,1.568,14.289,63.048,8.201,0.183,125.320,3.422
30,1980,1,153.736,6.585,30.455,139.880,3.588,0.023,-9.224,-0.060
31,1981,1,140.925,6.036,18.823,82.653,5.906,0.040,-43.705,-0.310
32,1982,1,91.313,3.911,22.159,100.820,4.031,0.042,-26.057,-0.285
33,1983,1,61.225,2.622,19.469,86.574,5.855,0.087,5.621,0.092
34,1984,1,60.991,2.612,22.12,97.946,4.883,0.074,0.414,0.007
35,1985,1,56.522,2.421,17.232,77.485,6.356,0.101,-9.737,-0.172
36,1986,1,40.429,1.732,5.679,23.493,3.710,0.084,-9.724,-0.241
37,1987,1,26.995,1.156,10.75,47.506,2.333,0.080,28.892,1.070
38,1988,0.17,53.554,2.294,13.45628428,21.243,0.323,0.006,2.386,0.045
39,1989,0.22,55.617,2.382,24.21218884,29.403,1.740,0.030,-17.536,-0.315
40,1990,0.02,36.341,1.557,25.40363093,25.808,7.005,0.162,-9.468,-0.261
41,1991,0.02,19.867,0.851,16.20407819,16.470,4.756,0.193,15.856,0.798
42,1992,0.00,30.967,1.326,11.06779965,11.098,2.756,0.082,-9.109,-0.294
43,1993,0.04,19.102,0.818,6.603970443,7.036,2.997,0.136,-4.923,-0.258
44,1994,0.09,11.182,0.479,12.79694906,14.094,0.562,0.048,0.174,0.016
45,1995,0.03,10.795,0.462,4.700704231,4.888,NA,NA,3.798,0.352
46,1996,0.00,14.593,0.625,7.37435672,7.396,NA,NA,1.618,0.111
47,1997,0.00,16.211,0.694,10.77760357,10.810,0.079,0.005,10.185,0.628
48,1998,0.00,26.316,1.127,20.62178735,20.682,1.550,0.056,-11.547,-0.439
49,1999,0.00,13.220,0.566,8.97102302,8.998,3.179,0.194,-2.147,-0.162
50,2000,0.00,7.893,0.338,5.341012743,5.357,2.009,0.203,1.808,0.229
51,2001,0.00,7.692,0.329,13.85856649,13.900,0.241,0.030,-1.521,-0.198
52,2002,0.00,5.930,0.254,2.285580414,2.292,0.880,0.129,6.583,1.110
53,2003,0.38,11.633,0.498,7.397908222,10.706,0.261,0.022,-2.474,-0.213
54,2004,0.35,8.899,0.381,4.906169843,6.676,0.227,0.025,1.575,0.177
55,2005,0.16,10.246,0.439,3.61380198,4.151,NA,NA,-1.155,-0.113
56,2006,1.00,9.091,0.389,4.09710995,17.495,NA,NA,4.785,0.526
57,2007,0.89,13.876,0.594,9.348288701,33.236,NA,NA,-4.395,-0.317
58,2008,0.00,9.481,0.406,4.213157065,4.225,NA,NA,4.913,0.518
59,2009,0.23,14.394,0.617,9.793652639,11.890,NA,NA,-3.007,-0.209
60,2010,0.05,11.387,0.488,6.746282299,7.372,NA,NA,1.054,0.093
61,2011,0.08,12.442,0.533,7.49000956,8.884,NA,NA,-0.538,-0.043
62,2012,0.19,11.904,0.510,9.720191256,12.658,NA,NA,11.683,0.981
63,2013,0.14,23.587,1.010,16.02544884,19.521,NA,NA,-7.303,-0.310
64,2014,0.00,16.284,0.697,10.56591292,10.598,NA,NA,-4.958,-0.304
65,2015,0.00,11.326,0.485,13.10210288,13.142,NA,NA,-3.349,-0.296
66,2016,0.02,7.978,0.342,6.829854186,6.983,NA,NA,0.082,0.010
67,2017,0.10,8.060,0.345,3.015603152,3.292,NA,NA,1.287,0.160
68,2018,0.00,9.347,0.400,4.588304387,4.601,NA,NA,0.621,0.066
69,2019,0.08,9.968,0.427,11.55048522,13.672,NA,NA,NA,NA