"","Year","SurfaceWt","SSB","SSBdep","spawnIdx","scaledIdx","Catch","HR","SurplusProd","perCapSurplusProd"
"1",1951,1,NA,NA,NA,NA,NA,NA,NA,NA
"2",1952,1,NA,NA,NA,NA,NA,NA,NA,NA
"3",1953,1,NA,NA,NA,NA,NA,NA,NA,NA
"4",1954,1,NA,NA,NA,NA,NA,NA,NA,NA
"5",1955,1,NA,NA,NA,NA,NA,NA,NA,NA
"6",1956,1,NA,NA,NA,NA,NA,NA,NA,NA
"7",1957,1,NA,NA,NA,NA,NA,NA,NA,NA
"8",1958,1,NA,NA,NA,NA,NA,NA,NA,NA
"9",1959,1,13.2519300284705,6.85909701298869,0.638,5.19732757886206,NA,NA,1.27903628179383,0.0965169812280887
"10",1960,1,14.5309663102643,7.52111635063296,2.163,17.6204068230073,NA,NA,0.489307580125663,0.0336734371051449
"11",1961,1,15.02027389039,7.77437818902648,1.176,9.58002701056705,NA,NA,-3.52789362155376,-0.23487545215876
"12",1962,1,11.4923802688362,5.94836759662568,0.547,4.45601596494913,NA,NA,-3.06238594008999,-0.266470989338409
"13",1963,1,8.4299943287462,4.3633001982043,NA,NA,NA,NA,-3.79163842606951,-0.449779475312345
"14",1964,1,4.63835590267669,2.40077732442572,0.909,7.4049698576577,1.924,0.293187390098003,-1.7682478641053,-0.381222980988778
"15",1965,1,0.946108038571385,0.489698240738341,0.169,1.37672156869544,3.026,0.761812108486439,3.41936519939319,3.61413819562976
"16",1966,1,1.33947323796458,0.693301041113447,NA,NA,NA,NA,0.193965864244944,0.144807569682906
"17",1967,1,1.53343910220952,0.793696279935714,0.005,0.0407314073578531,0.052,0.0327984846138404,0.255070448233471,0.166338818324081
"18",1968,1,1.73650955044299,0.898803981373317,0.019,0.154779347959842,NA,NA,0.254468619063212,0.146540293428444
"19",1969,1,1.9909781695062,1.03051498053842,NA,NA,NA,NA,0.318526114149107,0.159984734653372
"20",1970,1,2.30950428365531,1.19538164625618,0.158,1.28711247250816,NA,NA,0.367191497618183,0.158991477182722
"21",1971,1,2.6766957812735,1.38543713999157,0.822,6.69624336963105,NA,NA,3.98699478815396,1.48952107895394
"22",1972,1,6.66369056942746,3.44907496357467,1.556,12.6756139697639,0.583,0.0804505166067911,8.75009793428594,1.31310087752735
"23",1973,1,14.8307885037134,7.67630201091763,3.023,24.626208888558,0.071,0.00476452876661801,2.02781047390179,0.136729781656185
"24",1974,1,16.7875989776152,8.68913205512169,2.198,17.9055266745122,NA,NA,-2.84682309771051,-0.169578931537887
"25",1975,1,13.9407758799047,7.21563832522255,2.39,19.4696127170538,1.613,0.10370472176367,-3.00509095064156,-0.215561241105191
"26",1976,1,9.32268492926312,4.8253499840373,3.736,30.4345075777878,2.49216434563393,0.210934924995532,-0.998478124087322,-0.107101991718414
"27",1977,1,5.83204245954187,3.01862030118823,1.252,10.1991444024064,2.60815572122489,0.309015933674196,0.0345626011641142,0.00592632879542329
"28",1978,1,3.2584493394811,1.68654830529538,0.502,4.08943329872845,2.24395287007176,0.407813312188625,2.0491357653538,0.628868382431295
"29",1979,1,3.06363223476314,1.58571247095432,0.457,3.72285063250777,0.0082971047334566,0.00270094257272736,2.37582655993159,0.775493394074199
"30",1980,1,5.43116168996127,2.81112749951425,0.695,5.66166562274158,1.05107857562491,0.162147426284864,0.769546060640964,0.141690876569438
"31",1981,1,5.14962917497732,2.66540843606938,0.218,1.7758893608024,0.00926631914903731,0.0017961827603578,-0.942586453505875,-0.183039675572373
"32",1982,1,4.19777640232241,2.17273676517347,0.591,4.81445234969824,0.00848881366950943,0.00201813562236532,-0.201357567893819,-0.0479676735002891
"33",1983,1,3.98793002075908,2.06412189278317,0.482,3.92650766929704,0.00875447227204361,0.0021904336675333,-0.218800623662667,-0.0548657129196615
"34",1984,1,3.76037492482437,1.94634112609764,0.325,2.64754147826045,0.0078949165506406,0.00209510382296821,-0.569751382242252,-0.15151451481101
"35",1985,1,3.18272862603147,1.64735584666272,0.343,2.79417454474872,0.00832084533836974,0.00260755761169625,-0.492505890877519,-0.154743287520439
"36",1986,1,2.68190188981559,1.38813178171346,NA,NA,0.00699490043008919,0.00260140160658606,-0.218255001753686,-0.0813806808453735
"37",1987,1,2.45665198763181,1.27154416557563,0.159,1.29525875397973,0.00921301472677603,0.00373622023831955,13.8279105245468,5.62876247598942
"38",1988,1,16.2753494974518,8.42399566579989,0.9219405308,7.51038706394602,0.0103564657471321,0.000635923660327329,-2.92115292037614,-0.179483268290706
"39",1989,0.0162030045886622,13.3438401113285,6.90666896465466,5.11166552763648,5.19630244916035,1.42820500861929,0.0966829573713307,-6.49761332375142,-0.486937288632164
"40",1990,NA,5.41802177895781,2.80432638268665,1.95861711478857,1.96275474232107,5.25980085926748,0.492591143107963,3.69635981852412,0.682234211918421
"41",1991,NA,3.85458073821445,1.99510133022202,0.772720529879785,0.774352921282484,0.0105014741930295,0.00271701185535413,-2.26785756189246,-0.588353887469224
"42",1992,NA,1.57622170212896,0.81584022445435,0.999711600347808,1.00182351605146,2.46786848837887,0.610240714752451,2.22629950240771,1.41242789602548
"43",1993,0.677132937435686,1.3346527161578,0.69080597611877,0.244967519984172,0.604398198793568,0.0101113044179136,0.00751901765901263,-0.0802171658386359,-0.0601033998339024
"44",1994,1,1.24432424590125,0.64405265496529,0.0440980896073035,0.359235450299638,0.00895849611182348,0.00714802479242154,-0.169023799010809,-0.135835815759089
"45",1995,NA,1.06634195077861,0.551930388531815,NA,NA,NA,NA,-0.288813373474871,-0.270844988574244
"46",1996,NA,0.777528577303743,0.402442808756137,0.125267106677956,0.125531736566868,NA,NA,-0.169670700019612,-0.218217960049756
"47",1997,NA,0.607857877284131,0.314622559992679,0.0522989370515494,0.0524094198611966,NA,NA,-0.0715299936475796,-0.117675523046885
"48",1998,NA,0.536327883636551,0.27759918568319,NA,NA,0.0322949365116633,0.0567950060520706,0.0707539897701855,0.131923011890489
"49",1999,NA,0.574786936895073,0.297505295718571,0.0436451223063857,0.0437373237164269,NA,NA,0.10898419652453,0.189607991290213
"50",2000,NA,0.683771133419603,0.35391467723797,NA,NA,NA,NA,-0.0465770533029336,-0.0681178994351479
"51",2001,NA,0.637194080116669,0.329806752845251,0.254783409041749,0.255321645351498,NA,NA,0.117560722176643,0.184497511582527
"52",2002,NA,0.754754802293312,0.390655278048314,0.0996392686557425,0.0998497590972869,0.0222035392601839,0.0285775157723243,0.435127096204214,0.576514511576589
"53",2003,NA,1.16767835923734,0.60438133379586,NA,NA,NA,NA,-0.276253085262334,-0.236583202109497
"54",2004,NA,0.891425273975008,0.461394862551227,NA,NA,NA,NA,0.300929734783984,0.337582681992053
"55",2005,NA,1.19235500875899,0.617153777708624,0.503053854133335,0.504116567953957,NA,NA,0.0173673927377835,0.0145656223274137
"56",2006,NA,1.20972240149678,0.626143006552665,NA,NA,NA,NA,0.0226393873391577,0.0187145309627616
"57",2007,1,1.23236178883593,0.637860979235911,0.014052288,0.114473893367574,NA,NA,0.0376972050597206,0.0305893978547718
"58",2008,NA,1.27005899389565,0.657372762505793,NA,NA,NA,NA,0.0532578695315675,0.0419333824551012
"59",2009,NA,1.32331686342722,0.684938625971515,NA,NA,NA,NA,0.111439705750351,0.0842124126354264
"60",2010,1,1.43475656917757,0.74261896017177,0.052178427,0.4250601530858,NA,NA,-0.0535651531985033,-0.0373339661579022
"61",2011,1,1.38119141597907,0.714894049044501,0.12879101865,1.0491678889332,NA,NA,0.440526522913729,0.31894675699346
"62",2012,1,1.8217179388928,0.942907187581168,0.197931017275,1.61240177867646,NA,NA,0.0641524458846849,0.0352153560740997
"63",2013,NA,1.88587038477748,0.976111999936667,1.27190802955524,1.27459496700829,NA,NA,-0.257717864096745,-0.1366572518329
"64",2014,NA,1.62815252068074,0.842719216544206,NA,NA,NA,NA,-0.159183871752904,-0.0977696313649707
"65",2015,NA,1.46896864892783,0.760326869398502,NA,NA,NA,NA,-0.186901240251841,-0.127232967421229
"66",2016,NA,1.28206740867599,0.663588225594838,NA,NA,NA,NA,-0.0019757278246828,-0.00154104831876443
"67",2017,NA,1.28009168085131,0.662565604075433,NA,NA,NA,NA,0.0727719336379189,0.056849001307096
"68",2018,NA,1.35286361448923,0.700231796967554,NA,NA,NA,NA,-0.175003990192558,-0.129358191260566
"69",2019,1,1.17785962429667,0.609651078248695,0.184247842183431,1.50093478295575,NA,NA,NA,NA
